"session","subject","treatment","team","subjectid","teamid","round","investment"
1,1,"individual",NA,"1_individual_1","1_individual_1","r1",0
1,1,"individual",NA,"1_individual_1","1_individual_1","r2",0
1,1,"individual",NA,"1_individual_1","1_individual_1","r3",0
1,1,"individual",NA,"1_individual_1","1_individual_1","r4",0
1,1,"individual",NA,"1_individual_1","1_individual_1","r5",10
1,1,"individual",NA,"1_individual_1","1_individual_1","r6",10
1,1,"individual",NA,"1_individual_1","1_individual_1","r7",0
1,1,"individual",NA,"1_individual_1","1_individual_1","r8",0
1,1,"individual",NA,"1_individual_1","1_individual_1","r9",0
1,1,"message",1,"1_message_1","1_1","r1",100
1,1,"message",1,"1_message_1","1_1","r2",100
1,1,"message",1,"1_message_1","1_1","r3",100
1,1,"message",1,"1_message_1","1_1","r4",100
1,1,"message",1,"1_message_1","1_1","r5",100
1,1,"message",1,"1_message_1","1_1","r6",100
1,1,"message",1,"1_message_1","1_1","r7",100
1,1,"message",1,"1_message_1","1_1","r8",0
1,1,"message",1,"1_message_1","1_1","r9",0
1,1,"mixed",1,"1_mixed_1","1_1","r1",50
1,1,"mixed",1,"1_mixed_1","1_1","r2",50
1,1,"mixed",1,"1_mixed_1","1_1","r3",100
1,1,"mixed",1,"1_mixed_1","1_1","r4",10
1,1,"mixed",1,"1_mixed_1","1_1","r5",10
1,1,"mixed",1,"1_mixed_1","1_1","r6",10
1,1,"mixed",1,"1_mixed_1","1_1","r7",20
1,1,"mixed",1,"1_mixed_1","1_1","r8",0
1,1,"mixed",1,"1_mixed_1","1_1","r9",100
1,1,"paycomm",1,"1_paycomm_1","1_1","r1",50
1,1,"paycomm",1,"1_paycomm_1","1_1","r2",65
1,1,"paycomm",1,"1_paycomm_1","1_1","r3",45
1,1,"paycomm",1,"1_paycomm_1","1_1","r4",50
1,1,"paycomm",1,"1_paycomm_1","1_1","r5",50
1,1,"paycomm",1,"1_paycomm_1","1_1","r6",100
1,1,"paycomm",1,"1_paycomm_1","1_1","r7",50
1,1,"paycomm",1,"1_paycomm_1","1_1","r8",75
1,1,"paycomm",1,"1_paycomm_1","1_1","r9",75
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r1",33
1,1,"teamtreat",1,"1_teamtreat_1","1_1","r2",20
