treat,noise,punishment,p_reg,p_strong,session,round,subject,group,sub_nb_in_group,group_id,contribution,contr_dummy,public_record,pr_dummy,oth1_subject,oth2_subject,oth1_contribution,oth2_contribution,oth1_public_record,oth2_public_record,sum_group_contributions,sum_group_contributions_pr,income_pg,income_pg_pr,received_punishment,income_reduction,income_pg_after_reduction,punish_oth1,punish_oth2,punishment_cost,income,noise__p_reg,noise__p_strong,pr_received_punishment,prrp__noise,prrp__p_strong,prrp__noise__p_strong,pr_contr_dummy,prrp__prcd,prrp__prcd__noise,prrp__prcd__p_strong,prrp__prcd__noise__p_strong,pr_public_record,pr_no_contr_sig,prcd__pr_no_contr_sig,prrp__prcd__pr_no_contr_sig,prrp__prcd__p_strong__prncs,pr_group_contr,prcd__pr_group_contr
pun_noise,1,1,1,0,1,1,1,1,1,101,20,1,20,1,7,26,20,0,20,0,40,40,20,20,2,6,14,0,0,0,14,1,0,,,,,,,,,,,,,,,,
pun_noise,1,1,1,0,1,1,7,1,2,101,20,1,20,1,26,1,0,20,0,20,40,40,20,20,1,3,17,2,1,3,14,1,0,,,,,,,,,,,,,,,,
pun_noise,1,1,1,0,1,1,26,1,3,101,0,0,0,0,1,7,20,20,20,20,40,40,40,40,2,6,34,1,1,2,32,1,0,,,,,,,,,,,,,,,,
pun_noise,1,1,1,0,1,2,1,1,1,101,0,0,0,0,7,26,0,0,0,0,0,0,20,20,1,3,17,1,1,2,15,1,0,2,2,0,0,1,2,2,0,0,20,0,0,0,0,0.5,0.5
pun_noise,1,1,1,0,1,2,7,1,2,101,0,0,0,0,26,1,0,0,0,0,0,0,20,20,2,6,14,0,0,0,14,1,0,1,1,0,0,1,1,1,0,0,20,0,0,0,0,0.5,0.5
pun_noise,1,1,1,0,1,2,26,1,3,101,0,0,0,0,1,7,0,0,0,0,0,0,20,20,1,3,17,1,1,2,15,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pun_noise,1,1,1,0,1,3,1,1,1,101,20,1,20,1,7,26,20,0,20,0,40,40,20,20,3,9,11,1,2,3,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pun_noise,1,1,1,0,1,3,7,1,2,101,20,1,20,1,1,26,20,0,20,0,40,40,20,20,2,6,14,2,2,4,10,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pun_noise,1,1,1,0,1,3,26,1,3,101,0,0,0,0,7,1,20,20,20,20,40,40,40,40,4,12,28,1,1,2,26,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pun_noise,1,1,1,0,1,4,1,1,1,101,0,0,0,0,26,7,0,20,0,20,20,20,30,30,4,12,18,1,3,4,14,1,0,3,3,0,0,1,3,3,0,0,20,0,0,0,0,0.5,0.5
pun_noise,1,1,1,0,1,4,7,1,2,101,20,1,20,1,26,1,0,0,0,0,20,20,10,10,5,15,0,3,3,6,-6,1,0,2,2,0,0,1,2,2,0,0,20,0,0,0,0,0.5,0.5
pun_noise,1,1,1,0,1,4,26,1,3,101,0,0,0,0,7,1,20,0,20,0,20,20,30,30,4,12,18,2,1,3,15,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pun_noise,1,1,1,0,1,5,1,1,1,101,0,0,0,0,7,26,0,0,0,0,0,0,20,20,6,18,2,3,1,4,-2,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
